Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
VNET,"21Vianet Group, Inc.",10.35,642286886.4,62056704,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",51.44,2979539161,n/a,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou
DDD,3D Systems Corporation,12.05,1375875543,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ddd
JOBS,"51job, Inc.",65.81,2397864414,36436171,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs
WUBA,58.com Inc.,54.65,8095783562,n/a,2013,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/wuba
EGHT,8x8 Inc,17.42,1661365973,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght
ATEN,"A10 Networks, Inc.",5.83,430244771.1,n/a,2014,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/aten
AAN,"Aaron&#39;s,  Inc.",48.26,3502628806,n/a,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan
ACIA,"Acacia Communications, Inc.",44.38,1794870858,n/a,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia
ACIW,"ACI Worldwide, Inc.",28.44,3298461104,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw
ACMR,"ACM Research, Inc.",10.99,175881080.6,n/a,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr
ATVI,"Activision Blizzard, Inc",50.9,38839281546,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/atvi
ATU,Actuant Corporation,25.23,1539433983,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/atu
IOTS,Adesto Technologies Corporation,5.26,153952215.3,n/a,2015,Technology,Semiconductors,https://www.nasdaq.com/symbol/iots
ADBE,Adobe Inc.,226.06,1.10347E+11,n/a,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe
AMD,"Advanced Micro Devices, Inc.",18.73,18718897156,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amd
AER,Aercap Holdings N.V.,50.01,7349523461,n/a,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aer
